I_BON_001	けもののホネ
E_SHI_0014	りんねの盾
E_SHI_0015	げんまの盾
E_SHI_0016	みかがみの盾
E_SHI_0017	はぐれメタルの盾
E_SHI_0018	えいえんの盾
E_SHI_0019	メビウスの盾
E_SHI_0020	勇者の盾
E_SHI_0021	メタルキングの盾
E_SHI_0022	ウロボロスの盾
E_SHI_1001	おなべのふた＋１
E_SHI_1002	皮の盾＋１
E_SHI_1003	うろこの盾＋１
E_SHI_1004	シルバートレイ＋１
E_SHI_1005	ゴールドトレイ＋１
E_SHI_1006	ライトシールド＋１
E_SHI_1007	プラチナトレイ＋１
E_SHI_1008	まほうの盾＋１
E_SHI_1009	ほのおの盾＋１
E_SHI_1010	こおりの盾＋１
E_SHI_1011	ホワイトシールド＋１
E_SHI_1012	せいれいの盾＋１
E_SHI_1013	メタスラの盾＋１
E_SHI_1014	りんねの盾＋１
E_SHI_1015	げんまの盾＋１
E_SHI_1016	みかがみの盾＋１
E_SHI_1017	はぐれメタルの盾＋１
E_SHI_1018	えいえんの盾＋１
E_SHI_1019	メビウスの盾＋１
E_SHI_1020	勇者の盾＋１
E_SHI_1021	メタルキングの盾＋１
E_SHI_1022	ウロボロスの盾＋１
E_SHI_2001	おなべのふた＋２
E_SHI_2002	皮の盾＋２
E_SHI_2003	うろこの盾＋２
E_SHI_2004	シルバートレイ＋２
E_SHI_2005	ゴールドトレイ＋２
E_SHI_2006	ライトシールド＋２
E_SHI_2007	プラチナトレイ＋２
E_SHI_2008	まほうの盾＋２
E_SHI_2009	ほのおの盾＋２
E_SHI_2010	こおりの盾＋２
E_SHI_2011	ホワイトシールド＋２
E_SHI_2012	せいれいの盾＋２
E_SHI_2013	メタスラの盾＋２
E_SHI_2014	りんねの盾＋２
E_SHI_2015	げんまの盾＋２
E_SHI_2016	みかがみの盾＋２
E_SHI_2017	はぐれメタルの盾＋２
E_SHI_2018	えいえんの盾＋２
E_SHI_2019	メビウスの盾＋２
E_SHI_2020	勇者の盾＋２
E_SHI_2021	メタルキングの盾＋２
E_SHI_2022	ウロボロスの盾＋２
E_SHI_3001	おなべのふた＋３
E_SHI_3002	皮の盾＋３
E_SHI_3003	うろこの盾＋３
E_SHI_3004	シルバートレイ＋３
E_SHI_3005	ゴールドトレイ＋３
E_SHI_3006	ライトシールド＋３
E_SHI_3007	プラチナトレイ＋３
E_SHI_3008	まほうの盾＋３
E_SHI_3009	ほのおの盾＋３
E_SHI_3010	こおりの盾＋３
E_SHI_3011	ホワイトシールド＋３
E_SHI_3012	せいれいの盾＋３
E_SHI_3013	メタスラの盾＋３
E_SHI_3014	りんねの盾＋３
E_SHI_3015	げんまの盾＋３
E_SHI_3016	みかがみの盾＋３
E_SHI_3017	はぐれメタルの盾＋３
E_SHI_3018	えいえんの盾＋３
E_SHI_3019	メビウスの盾＋３
E_SHI_3020	勇者の盾＋３
E_SHI_3021	メタルキングの盾＋３
E_SHI_3022	ウロボロスの盾＋３
W_AXE_0001	ナイトアックス
W_AXE_0002	キングアックス
W_AXE_0003	ふぶきのオノ
W_AXE_0004	カイザーアックス
W_AXE_0005	デストロイヤー
W_AXE_0006	はしゃのオノ
W_AXE_0007	グレートアックス
W_AXE_0008	はおうのオノ
W_AXE_0009	ブリザードアックス
W_AXE_0010	ギガントアックス
W_AXE_0011	アポロンのオノ
W_AXE_0012	グラビティアックス
W_AXE_0013	デュークアックス
W_AXE_0014	カイロスアックス
W_AXE_0015	ゴッドアックス
W_AXE_1001	ナイトアックス＋１
W_AXE_1002	キングアックス＋１
W_AXE_1003	ふぶきのオノ＋１
W_AXE_1004	カイザーアックス＋１
W_AXE_1005	デストロイヤー＋１
W_AXE_1006	はしゃのオノ＋１
W_AXE_1008	はおうのオノ＋１
W_AXE_1009	ブリザードアックス＋１
W_AXE_1011	アポロンのオノ＋１
W_AXE_1013	デュークアックス＋１
W_AXE_1014	カイロスアックス＋１
W_AXE_1015	ゴッドアックス＋１
W_AXE_2001	ナイトアックス＋２
W_AXE_2002	キングアックス＋２
W_AXE_2003	ふぶきのオノ＋２
W_AXE_2004	カイザーアックス＋２
W_AXE_2005	デストロイヤー＋２
W_AXE_2006	はしゃのオノ＋２
W_AXE_2008	はおうのオノ＋２
W_AXE_2009	ブリザードアックス＋２
W_AXE_2011	アポロンのオノ＋２
W_AXE_2013	デュークアックス＋２
W_AXE_2014	カイロスアックス＋２
W_AXE_2015	ゴッドアックス＋２
W_AXE_3001	ナイトアックス＋３
W_AXE_3002	キングアックス＋３
W_AXE_3003	ふぶきのオノ＋３
W_AXE_3004	カイザーアックス＋３
W_AXE_3005	デストロイヤー＋３
W_AXE_3006	はしゃのオノ＋３
W_AXE_3008	はおうのオノ＋３
W_AXE_3009	ブリザードアックス＋３
W_AXE_3011	アポロンのオノ＋３
W_AXE_3013	デュークアックス＋３
W_AXE_3014	カイロスアックス＋３
W_AXE_3015	ゴッドアックス＋３
W_BOO_0001	やいばのブーメラン
W_BOO_0003	クロスブーメラン
W_BOO_0005	はがねのブーメラン
W_BOO_0006	ほのおのブーメラン
W_BOO_0007	こおりのブーメラン
W_BOO_0008	マジックチャクラム
W_BOO_0009	フレイムカッター
W_BOO_0010	サザンクロス
W_BOO_0011	ペンタグラム
W_BOO_0012	メタスラブーメラン
W_BOO_0013	メテオエッジ
W_BOO_0014	コメットエッジ
W_BOO_0015	スーパーノヴァ
W_BOO_0016	はぐメタブーメラン
W_BOO_0017	ダークスター
W_BOO_0018	はてんの月輪
W_BOO_0019	ハイパーノヴァ
W_BOO_0020	メタキンブーメラン
W_BOO_0021	かしのブーメラン
W_BOO_0022	ブーメラン
W_BOO_1001	やいばのブーメラン＋１
W_BOO_1003	クロスブーメラン＋１
W_BOO_1005	はがねのブーメラン＋１
W_BOO_1006	ほのおのブーメラン＋１
W_BOO_1007	こおりのブーメラン＋１
W_BOO_1008	マジックチャクラム＋１
W_BOO_1009	フレイムカッター＋１
W_BOO_1010	サザンクロス＋１
W_BOO_1011	ペンタグラム＋１
W_BOO_1012	メタスラブーメラン＋１
W_BOO_1016	はぐメタブーメラン＋１
W_BOO_1017	ダークスター＋１
W_BOO_1018	はてんの月輪＋１
W_BOO_1019	ハイパーノヴァ＋１
W_BOO_1020	メタキンブーメラン＋１
W_BOO_1021	かしのブーメラン＋１
W_BOO_1022	ブーメラン＋１
W_BOO_2001	やいばのブーメラン＋２
W_BOO_2003	クロスブーメラン＋２
W_BOO_2005	はがねのブーメラン＋２
W_BOO_2006	ほのおのブーメラン＋２
W_BOO_2007	こおりのブーメラン＋２
W_BOO_2008	マジックチャクラム＋２
W_BOO_2009	フレイムカッター＋２
W_BOO_2010	サザンクロス＋２
W_BOO_2011	ペンタグラム＋２
W_BOO_2012	メタスラブーメラン＋２
W_BOO_2016	はぐメタブーメラン＋２
W_BOO_2017	ダークスター＋２
W_BOO_2018	はてんの月輪＋２
W_BOO_2019	ハイパーノヴァ＋２
W_BOO_2020	メタキンブーメラン＋２
W_BOO_2021	かしのブーメラン＋２
W_BOO_2022	ブーメラン＋２
W_BOO_3001	やいばのブーメラン＋３
W_BOO_3003	クロスブーメラン＋３
W_BOO_3005	はがねのブーメラン＋３
W_BOO_3006	ほのおのブーメラン＋３
W_BOO_3007	こおりのブーメラン＋３
W_BOO_3008	マジックチャクラム＋３
W_BOO_3009	フレイムカッター＋３
W_BOO_3010	サザンクロス＋３
W_BOO_3011	ペンタグラム＋３
W_BOO_3012	メタスラブーメラン＋３
W_BOO_3016	はぐメタブーメラン＋３
W_BOO_3017	ダークスター＋３
W_BOO_3018	はてんの月輪＋３
W_BOO_3019	ハイパーノヴァ＋３
W_BOO_3020	メタキンブーメラン＋３
W_BOO_3021	かしのブーメラン＋３
W_BOO_3022	ブーメラン＋３
W_CLW_0001	てつのツメ
W_CLW_0002	シルバークロー
W_CLW_0003	こあくまネイル
W_CLW_0004	はがねのツメ
W_CLW_0005	はやぶさのツメ
W_CLW_0006	プラチナクロー
W_CLW_0007	オオワシのツメ
W_CLW_0008	ほのおのツメ
W_CLW_0009	こおりのツメ
W_CLW_0010	ガルーダのツメ
W_CLW_0011	あくまのツメ
W_CLW_0012	ドラゴンクロー
W_CLW_0013	古武道のツメ
W_CLW_0014	まじゅうのツメ
W_CLW_0015	竜王のツメ
W_CLW_0016	しゃくねつのツメ
W_CLW_0017	サタンネイル
W_CLW_0018	冥獣のツメ
W_CLW_0019	じゅうおうのツメ
W_CLW_0020	クリスタルクロー
W_CLW_0021	竜神王のツメ
W_CLW_0022	オリハルコンのツメ
W_CLW_0023	ゴッドキラー
W_CLW_0024	神竜のツメ
W_CLW_0025	蒼炎のツメ
W_CLW_1001	てつのツメ＋１
W_CLW_1002	シルバークロー＋１
W_CLW_1003	こあくまネイル＋１
W_CLW_1004	はがねのツメ＋１
W_CLW_1005	はやぶさのツメ＋１
W_CLW_1006	プラチナクロー＋１
W_CLW_1007	オオワシのツメ＋１
W_CLW_1008	ほのおのツメ＋１
W_CLW_1009	こおりのツメ＋１
W_CLW_1010	ガルーダのツメ＋１
W_CLW_1011	あくまのツメ＋１
W_CLW_1012	ドラゴンクロー＋１
W_CLW_1013	古武道のツメ＋１
W_CLW_1014	まじゅうのツメ＋１
W_CLW_1016	しゃくねつのツメ＋１
W_CLW_1017	サタンネイル＋１
W_CLW_1018	冥獣のツメ＋１
W_CLW_1020	クリスタルクロー＋１
W_CLW_1022	オリハルコンのツメ＋１
W_CLW_1023	ゴッドキラー＋１
W_CLW_1024	神竜のツメ＋１
W_CLW_1025	蒼炎のツメ＋１
W_CLW_2001	てつのツメ＋２
W_CLW_2002	シルバークロー＋２
W_CLW_2003	こあくまネイル＋２
W_CLW_2004	はがねのツメ＋２
W_CLW_2005	はやぶさのツメ＋２
W_CLW_2006	プラチナクロー＋２
W_CLW_2007	オオワシのツメ＋２
W_CLW_2008	ほのおのツメ＋２
W_CLW_2009	こおりのツメ＋２
W_CLW_2010	ガルーダのツメ＋２
W_CLW_2011	あくまのツメ＋２
W_CLW_2012	ドラゴンクロー＋２
W_CLW_2013	古武道のツメ＋２
W_CLW_2014	まじゅうのツメ＋２
W_CLW_2016	しゃくねつのツメ＋２
W_CLW_2017	サタンネイル＋２
W_CLW_2018	冥獣のツメ＋２
W_CLW_2020	クリスタルクロー＋２
W_CLW_2022	オリハルコンのツメ＋２
W_CLW_2023	ゴッドキラー＋２
W_CLW_2024	神竜のツメ＋２
W_CLW_2025	蒼炎のツメ＋２
W_CLW_3001	てつのツメ＋３
W_CLW_3002	シルバークロー＋３
W_CLW_3003	こあくまネイル＋３
W_CLW_3004	はがねのツメ＋３
W_CLW_3005	はやぶさのツメ＋３
W_CLW_3006	プラチナクロー＋３
W_CLW_3007	オオワシのツメ＋３
W_CLW_3008	ほのおのツメ＋３
W_CLW_3009	こおりのツメ＋３
W_CLW_3010	ガルーダのツメ＋３
W_CLW_3011	あくまのツメ＋３
W_CLW_3012	ドラゴンクロー＋３
W_CLW_3013	古武道のツメ＋３
W_CLW_3014	まじゅうのツメ＋３
W_CLW_3016	しゃくねつのツメ＋３
W_CLW_3017	サタンネイル＋３
W_CLW_3018	冥獣のツメ＋３
W_CLW_3020	クリスタルクロー＋３
W_CLW_3022	オリハルコンのツメ＋３
W_CLW_3023	ゴッドキラー＋３
W_CLW_3024	神竜のツメ＋３
W_CLW_3025	蒼炎のツメ＋３
W_DGR_0001	カミュの短剣
W_DGR_0002	ブロンズナイフ
W_DGR_0003	どくばり
W_DGR_0004	せいなるナイフ
W_DGR_0005	どくがのナイフ
W_DGR_0006	バタフライダガー
W_DGR_0007	アサシンダガー
W_DGR_0008	よるのパピヨン
W_DGR_0009	イーグルダガー
W_DGR_0010	王家のナイフ
W_DGR_0011	ブラッドピック
W_DGR_0012	ソードブレイカー
W_DGR_0013	フェンリルのキバ
W_DGR_0014	ソウルブレイカー
W_DGR_0015	こおりのやいば
W_DGR_0016	ポイズンスケイル
W_DGR_0017	こあくまのナイフ
W_DGR_0018	グラディウス
W_DGR_0019	キラーピアス
W_DGR_0020	サラマンダー
W_DGR_0021	サウザンドダガー
W_DGR_0022	クラウンダガー
W_DGR_0023	はめつのナイフ
W_DGR_0024	ミリオンダガー
W_DGR_0025	ファルコンダガー
W_DGR_0026	ビリオンダガー
W_DGR_0027	ライトニングダガー
W_DGR_0028	トリックスター
W_DGR_0029	クロノスエッジ
W_DGR_0030	トリリオンダガー
W_DGR_1001	カミュの短剣＋１
W_DGR_1002	ブロンズナイフ＋１
W_DGR_1003	どくばり＋１
W_DGR_1004	せいなるナイフ＋１
W_DGR_1005	どくがのナイフ＋１
W_DGR_1006	バタフライダガー＋１
W_DGR_1007	アサシンダガー＋１
W_DGR_1008	よるのパピヨン＋１
W_DGR_1009	イーグルダガー＋１
W_DGR_1010	王家のナイフ＋１
W_DGR_1011	ブラッドピック＋１
W_DGR_1012	ソードブレイカー＋１
W_DGR_1013	フェンリルのキバ＋１
W_DGR_1014	ソウルブレイカー＋１
W_DGR_1015	こおりのやいば＋１
W_DGR_1016	ポイズンスケイル＋１
W_DGR_1017	こあくまのナイフ＋１
W_DGR_1018	グラディウス＋１
W_DGR_1019	キラーピアス＋１
W_DGR_1020	サラマンダー＋１
W_DGR_1022	クラウンダガー＋１
W_DGR_1023	はめつのナイフ＋１
W_DGR_1025	ファルコンダガー＋１
W_DGR_1027	ライトニングダガー＋１
W_DGR_1028	トリックスター＋１
W_DGR_1029	クロノスエッジ＋１
W_DGR_1030	トリリオンダガー＋１
W_DGR_2001	カミュの短剣＋２
W_DGR_2002	ブロンズナイフ＋２
W_DGR_2003	どくばり＋２
W_DGR_2004	せいなるナイフ＋２
W_DGR_2005	どくがのナイフ＋２
W_DGR_2006	バタフライダガー＋２
W_DGR_2007	アサシンダガー＋２
W_DGR_2008	よるのパピヨン＋２
W_DGR_2009	イーグルダガー＋２
W_DGR_2010	王家のナイフ＋２
W_DGR_2011	ブラッドピック＋２
W_DGR_2012	ソードブレイカー＋２
W_DGR_2013	フェンリルのキバ＋２
W_DGR_2014	ソウルブレイカー＋２
W_DGR_2015	こおりのやいば＋２
W_DGR_2016	ポイズンスケイル＋２
W_DGR_2017	こあくまのナイフ＋２
W_DGR_2018	グラディウス＋２
W_DGR_2019	キラーピアス＋２
W_DGR_2020	サラマンダー＋２
W_DGR_2022	クラウンダガー＋２
W_DGR_2023	はめつのナイフ＋２
W_DGR_2025	ファルコンダガー＋２
W_DGR_2027	ライトニングダガー＋２
W_DGR_2028	トリックスター＋２
W_DGR_2029	クロノスエッジ＋２
W_DGR_2030	トリリオンダガー＋２
W_DGR_3001	カミュの短剣＋３
W_DGR_3002	ブロンズナイフ＋３
W_DGR_3003	どくばり＋３
W_DGR_3004	せいなるナイフ＋３
W_DGR_3005	どくがのナイフ＋３
W_DGR_3006	バタフライダガー＋３
W_DGR_3007	アサシンダガー＋３
W_DGR_3008	よるのパピヨン＋３
W_DGR_3009	イーグルダガー＋３
W_DGR_3010	王家のナイフ＋３
W_DGR_3011	ブラッドピック＋３
W_DGR_3012	ソードブレイカー＋３
W_DGR_3013	フェンリルのキバ＋３
W_DGR_3014	ソウルブレイカー＋３
W_DGR_3015	こおりのやいば＋３
W_DGR_3016	ポイズンスケイル＋３
W_DGR_3017	こあくまのナイフ＋３
W_DGR_3018	グラディウス＋３
W_DGR_3019	キラーピアス＋３
W_DGR_3020	サラマンダー＋３
W_DGR_3022	クラウンダガー＋３
W_DGR_3023	はめつのナイフ＋３
W_DGR_3025	ファルコンダガー＋３
W_DGR_3027	ライトニングダガー＋３
W_DGR_3028	トリックスター＋３
W_DGR_3029	クロノスエッジ＋３
W_DGR_3030	トリリオンダガー＋３
W_ROD_0001	ようせいの杖
W_ROD_0002	ベロニカの杖
W_ROD_0003	まどうしの杖
W_ROD_0004	さばきの杖
W_ROD_0005	こおりの杖
W_ROD_0006	てんばつの杖
W_ROD_0007	ロウの杖
W_ROD_0008	うみなりの杖
W_ROD_0009	いかずちの杖
W_ROD_0010	ピオラの杖
W_ROD_0011	わだつみの杖
W_ROD_0012	マグマの杖
W_ROD_0013	まふうじの杖
W_ROD_0014	らいていの杖
W_ROD_0015	ルーンスタッフ
W_ROD_0016	ウィザードスタッフ
W_ROD_0017	まがんの杖
W_ROD_0018	ふっかつの杖
W_ROD_0019	アークワンド
W_ROD_0020	せいれいの杖
W_ROD_0021	賢者の杖
W_ROD_0022	セイレーンの杖
W_ROD_0023	ひかりの杖
W_ROD_0024	女神の杖
W_ROD_0025	ドラゴンの杖
W_ROD_0026	大賢者の杖
W_ROD_0027	かがやきの杖
W_ROD_0028	せんこうの杖
W_ROD_0029	イーリスの杖
W_ROD_0030	とこしえの杖
W_ROD_0031	オーロラの杖
W_ROD_1001	ようせいの杖＋１
W_ROD_1002	ベロニカの杖＋１
W_ROD_1003	まどうしの杖＋１
W_ROD_1004	さばきの杖＋１
W_ROD_1005	こおりの杖＋１
W_ROD_1006	てんばつの杖＋１
W_ROD_1007	ロウの杖＋１
W_ROD_1008	うみなりの杖＋１
W_ROD_1009	いかずちの杖＋１
W_ROD_1010	ピオラの杖＋１
W_ROD_1011	わだつみの杖＋１
W_ROD_1012	マグマの杖＋１
W_ROD_1013	まふうじの杖＋１
W_ROD_1014	らいていの杖＋１
W_ROD_1015	ルーンスタッフ＋１
W_ROD_1016	ウィザードスタッフ＋１
W_ROD_1017	まがんの杖＋１
W_ROD_1018	ふっかつの杖＋１
W_ROD_1019	アークワンド＋１
W_ROD_1020	せいれいの杖＋１
W_ROD_1021	賢者の杖＋１
W_ROD_1022	セイレーンの杖＋１
W_ROD_1024	女神の杖＋１
W_ROD_1025	ドラゴンの杖＋１
W_ROD_1026	大賢者の杖＋１
W_ROD_1029	イーリスの杖＋１
W_ROD_1030	とこしえの杖＋１
W_ROD_1031	オーロラの杖＋１
W_ROD_2001	ようせいの杖＋２
W_ROD_2002	ベロニカの杖＋２
W_ROD_2003	まどうしの杖＋２
W_ROD_2004	さばきの杖＋２
W_ROD_2005	こおりの杖＋２
W_ROD_2006	てんばつの杖＋２
W_ROD_2007	ロウの杖＋２
W_ROD_2008	うみなりの杖＋２
W_ROD_2009	いかずちの杖＋２
W_ROD_2010	ピオラの杖＋２
W_ROD_2011	わだつみの杖＋２
W_ROD_2012	マグマの杖＋２
W_ROD_2013	まふうじの杖＋２
W_ROD_2014	らいていの杖＋２
W_ROD_2015	ルーンスタッフ＋２
W_ROD_2016	ウィザードスタッフ＋２
W_ROD_2017	まがんの杖＋２
W_ROD_2018	ふっかつの杖＋２
W_ROD_2019	アークワンド＋２
W_ROD_2020	せいれいの杖＋２
W_ROD_2021	賢者の杖＋２
W_ROD_2022	セイレーンの杖＋２
W_ROD_2024	女神の杖＋２
W_ROD_2025	ドラゴンの杖＋２
W_ROD_2026	大賢者の杖＋２
W_ROD_2029	イーリスの杖＋２
W_ROD_2030	とこしえの杖＋２
W_ROD_2031	オーロラの杖＋２
W_ROD_3001	ようせいの杖＋３
W_ROD_3002	ベロニカの杖＋３
W_ROD_3003	まどうしの杖＋３
W_ROD_3004	さばきの杖＋３
W_ROD_3005	こおりの杖＋３
W_ROD_3006	てんばつの杖＋３
W_ROD_3007	ロウの杖＋３
W_ROD_3008	うみなりの杖＋３
W_ROD_3009	いかずちの杖＋３
W_ROD_3010	ピオラの杖＋３
W_ROD_3011	わだつみの杖＋３
W_ROD_3012	マグマの杖＋３
W_ROD_3013	まふうじの杖＋３
W_ROD_3014	らいていの杖＋３
W_ROD_3015	ルーンスタッフ＋３
W_ROD_3016	ウィザードスタッフ＋３
W_ROD_3017	まがんの杖＋３
W_ROD_3018	ふっかつの杖＋３
W_ROD_3019	アークワンド＋３
W_ROD_3020	せいれいの杖＋３
W_ROD_3021	賢者の杖＋３
W_ROD_3022	セイレーンの杖＋３
W_ROD_3024	女神の杖＋３
W_ROD_3025	ドラゴンの杖＋３
W_ROD_3026	大賢者の杖＋３
W_ROD_3029	イーリスの杖＋３
W_ROD_3030	とこしえの杖＋３
W_ROD_3031	オーロラの杖＋３
W_SPR_0001	せいどうのやり
W_SPR_0002	てつのやり
W_SPR_0003	バトルフォーク
W_SPR_0004	はがねのやり
W_SPR_0005	マルティナのやり
W_SPR_0006	トライデント
W_SPR_0007	いなずまのやり
W_SPR_0008	プラチナのやり
W_SPR_0009	グラコスのやり
W_SPR_0010	デーモンスピア
W_SPR_0011	雷神のやり
W_SPR_0012	オセアノススピア
W_SPR_0013	聖騎士のやり
W_SPR_0014	メタスラのやり
W_SPR_0015	きしんの魔槍
W_SPR_0016	セラフィムのやり
W_SPR_0017	らせつの魔槍
W_SPR_0018	はぐれメタルのやり
W_SPR_0019	えんまの魔槍
W_SPR_0020	ブラッドスピアー
W_SPR_0021	アテナの聖槍
W_SPR_0022	聖竜のえんげつとう
W_SPR_0023	メタルキングのやり
W_SPR_0024	じごくの魔槍
W_SPR_1001	せいどうのやり＋１
W_SPR_1002	てつのやり＋１
W_SPR_1003	バトルフォーク＋１
W_SPR_1004	はがねのやり＋１
W_SPR_1005	マルティナのやり＋１
W_SPR_1006	トライデント＋１
W_SPR_1007	いなずまのやり＋１
W_SPR_1008	プラチナのやり＋１
W_SPR_1009	グラコスのやり＋１
W_SPR_1010	デーモンスピア＋１
W_SPR_1011	雷神のやり＋１
W_SPR_1012	オセアノススピア＋１
W_SPR_1013	聖騎士のやり＋１
W_SPR_1014	メタスラのやり＋１
W_SPR_1016	セラフィムのやり＋１
W_SPR_1018	はぐれメタルのやり＋１
W_SPR_1020	ブラッドスピアー＋１
W_SPR_1021	アテナの聖槍＋１
W_SPR_1022	聖竜のえんげつとう＋１
W_SPR_1023	メタルキングのやり＋１
W_SPR_1024	じごくの魔槍＋１）
W_SPR_2001	せいどうのやり＋２
W_SPR_2002	てつのやり＋２
W_SPR_2003	バトルフォーク＋２
W_SPR_2004	はがねのやり＋２
W_SPR_2005	マルティナのやり＋２
W_SPR_2006	トライデント＋２
W_SPR_2007	いなずまのやり＋２
W_SPR_2008	プラチナのやり＋２
W_SPR_2009	グラコスのやり＋２
W_SPR_2010	デーモンスピア＋２
W_SPR_2011	雷神のやり＋２
W_SPR_2012	オセアノススピア＋２
W_SPR_2013	聖騎士のやり＋２
W_SPR_2014	メタスラのやり＋２
W_SPR_2016	セラフィムのやり＋２
W_SPR_2018	はぐれメタルのやり＋２
W_SPR_2020	ブラッドスピアー＋２
W_SPR_2021	アテナの聖槍＋２
W_SPR_2022	聖竜のえんげつとう＋２
W_SPR_2023	メタルキングのやり＋２
W_SPR_2024	じごくの魔槍＋２
W_SPR_3001	せいどうのやり＋３
W_SPR_3002	てつのやり＋３
W_SPR_3003	バトルフォーク＋３
W_SPR_3004	はがねのやり＋３
W_SPR_3005	マルティナのやり＋３
W_SPR_3006	トライデント＋３
W_SPR_3007	いなずまのやり＋３
W_SPR_3008	プラチナのやり＋３
W_SPR_3009	グラコスのやり＋３
W_SPR_3010	デーモンスピア＋３
W_SPR_3011	雷神のやり＋３
W_SPR_3012	オセアノススピア＋３
W_SPR_3013	聖騎士のやり＋３
W_SPR_3014	メタスラのやり＋３
W_SPR_3016	セラフィムのやり＋３
W_SPR_3018	はぐれメタルのやり＋３
W_SPR_3020	ブラッドスピアー＋３
W_SPR_3021	アテナの聖槍＋３
W_SPR_3022	聖竜のえんげつとう＋３
W_SPR_3023	メタルキングのやり＋３
W_SPR_3024	じごくの魔槍＋３
W_STK_0001	セーニャのステッキ
W_STK_0002	ランタンステッキ
W_STK_0003	フラワースティック
W_STK_0004	ペロリンステッキ
W_STK_0005	パラソルスティック
W_STK_0006	ドラゴンスティック
W_STK_0007	天使のタクト
W_STK_0008	ユグドラシル
W_STK_0009	ゴシックパラソル
W_STK_0010	アメイジングタクト
W_STK_0011	火竜のタクト
W_STK_0012	セラフィムステッキ
W_STK_0013	タイタニアステッキ
W_STK_0014	ひかりのタクト
W_STK_0015	ライトニングタクト
W_STK_0016	フェアリーステッキ
W_STK_0017	ファンタスティック
W_STK_0018	ラクリマタクト
W_STK_0019	ときのおうしゃく
W_STK_0020	精霊王のタクト
W_STK_0021	さびたおうしゃく
W_STK_0022	お尻たたき棒
W_STK_1001	セーニャのステッキ＋１
W_STK_1002	ランタンステッキ＋１
W_STK_1003	フラワースティック＋１
W_STK_1004	ペロリンステッキ＋１
W_STK_1005	パラソルスティック＋１
W_STK_1006	ドラゴンスティック＋１
W_STK_1007	天使のタクト＋１
W_STK_1008	ユグドラシル＋１
W_STK_1009	ゴシックパラソル＋１
W_STK_1010	アメイジングタクト＋１
W_STK_1011	火竜のタクト＋１
W_STK_1012	セラフィムステッキ＋１
W_STK_1013	タイタニアステッキ＋１
W_STK_1014	ひかりのタクト＋１
W_STK_1015	ライトニングタクト＋１
W_STK_1016	フェアリーステッキ＋１
W_STK_1017	ファンタスティック＋１
W_STK_1018	ラクリマタクト＋１
W_STK_1019	ときのおうしゃく＋１
W_STK_1020	精霊王のタクト＋１
W_STK_1022	お尻たたき棒＋１
W_STK_2001	セーニャのステッキ＋２
W_STK_2002	ランタンステッキ＋２
W_STK_2003	フラワースティック＋２
W_STK_2004	ペロリンステッキ＋２
W_STK_2005	パラソルスティック＋２
W_STK_2006	ドラゴンスティック＋２
W_STK_2007	天使のタクト＋２
W_STK_2008	ユグドラシル＋２
W_STK_2009	ゴシックパラソル＋２
W_STK_2010	アメイジングタクト＋２
W_STK_2011	火竜のタクト＋２
W_STK_2012	セラフィムステッキ＋２
W_STK_2013	タイタニアステッキ＋２
W_STK_2014	ひかりのタクト＋２
W_STK_2015	ライトニングタクト＋２
W_STK_2016	フェアリーステッキ＋２
W_STK_2017	ファンタスティック＋２
W_STK_2018	ラクリマタクト＋２
W_STK_2019	ときのおうしゃく＋２
W_STK_2020	精霊王のタクト＋２
W_STK_2022	お尻たたき棒＋２
W_STK_3001	セーニャのステッキ＋３
W_STK_3002	ランタンステッキ＋３
W_STK_3003	フラワースティック＋３
W_STK_3004	ペロリンステッキ＋３
W_STK_3005	パラソルスティック＋３
W_STK_3006	ドラゴンスティック＋３
W_STK_3007	天使のタクト＋３
W_STK_3008	ユグドラシル＋３
W_STK_3009	ゴシックパラソル＋３
W_STK_3010	アメイジングタクト＋３
W_STK_3011	火竜のタクト＋３
W_STK_3012	セラフィムステッキ＋３
W_STK_3013	タイタニアステッキ＋３
W_STK_3014	ひかりのタクト＋３
W_STK_3015	ライトニングタクト＋３
W_STK_3016	フェアリーステッキ＋３
W_STK_3017	ファンタスティック＋３
W_STK_3018	ラクリマタクト＋３
W_STK_3019	ときのおうしゃく＋３
W_STK_3020	精霊王のタクト＋３
W_STK_3022	お尻たたき棒＋３
W_SWD_0001	イシのつるぎ
W_SWD_0002	どうのつるぎ
W_SWD_0003	兵士の剣
W_SWD_0004	せいどうのつるぎ
W_SWD_0005	レイピア
W_SWD_0006	てつのつるぎ
W_SWD_0007	シルビアの剣
W_SWD_0008	はじゃのつるぎ
W_SWD_0009	ぎんのレイピア
W_SWD_0010	はがねのつるぎ
W_SWD_0011	バスターソード
W_SWD_0012	さんぞくのサーベル
W_SWD_0013	はやぶさの剣
W_SWD_0014	ソンビキラー
W_SWD_0015	プラチナソード
W_SWD_0016	ゾンビバスター
W_SWD_0017	ひかりのつるぎ
W_SWD_0018	まけんしのレイピア
W_SWD_0019	ドラゴンキラー
W_SWD_0020	きせきのつるぎ
W_SWD_0021	ほのおのつるぎ
W_SWD_0022	勇者のつるぎ
W_SWD_0024	メタスラの剣
W_SWD_0025	ほしくずのつるぎ
W_SWD_0026	きせきのつるぎ・改
W_SWD_0027	はやぶさの剣・改
W_SWD_0028	インフェルノソード
W_SWD_0029	りゅうせいのつるぎ
W_SWD_0030	ドラゴンスレイヤー
